Stage,Trial,LoRA_r,Targets,LR,Batch,Epochs,Beta,Mean_BLEU,Mean_BERTScore_F1,Combined_Score,Eval_Loss,Train_Time_s
Base,TinyLlama/TinyLlama_v1.1 (4-bit nf4),-,-,-,-,-,-,4.964937690247645,0.8010765314102173,0.42536295415634684,-,-
SFT,trial_1_baseline,8,"['q_proj', 'v_proj']",0.0002,16,1,-,5.503219483067616,0.8089418232440948,0.43198700903738546,nan,4042.08646607399
SFT,trial_2_mlp_low_rank,4,"['gate_proj', 'up_proj', 'down",0.0001,32,1,-,5.472497935923288,0.8000818371772767,0.4274034082682548,nan,4484.346041917801
SFT,trial_3_attn_high_rank,32,"['q_proj', 'k_proj', 'v_proj',",0.0002,16,1,-,6.6376367150975355,0.814244520664215,0.4403104439075952,nan,4091.7092897892
SFT,trial_4_all_linear_slow,16,all-linear,5e-05,8,1,-,7.4903983949874515,0.8166188955307007,0.4457614397402876,nan,4716.562577009201
SFT,trial_5_aggressive_full,64,"['q_proj', 'k_proj', 'v_proj',",0.0005,8,1,-,5.6374585248290465,0.8170152187347413,0.43669490199151584,nan,4775.391488075256
DPO,trial_1_conservative,(from SFT winner),(from SFT winner),5e-06,8,1,0.1,3.2354979836132136,0.7784260272979736,0.40539050356705286,0.6820483803749084,6402.183519601822
DPO,trial_2_low_beta,(from SFT winner),(from SFT winner),5e-06,8,1,0.01,1.6347629625010693,0.7715034127235413,0.393925521174276,0.6921921968460083,6429.669528961182
DPO,trial_3_high_beta,(from SFT winner),(from SFT winner),1e-06,8,1,0.5,2.7089550482600235,0.7807598829269409,0.40392471670477054,0.6990629434585571,6422.444598674774
DPO,trial_4_high_lr,(from SFT winner),(from SFT winner),5e-05,8,1,0.1,1.4296661380414184,0.7802975058555603,0.39729708361798727,0.6105238795280457,6428.539636135101
DPO,trial_5_large_batch,(from SFT winner),(from SFT winner),5e-06,16,1,0.1,3.4228421597533347,0.7725472092628479,0.40338781543019064,0.6806473731994629,7175.655823945999
